,movie,director,evaluation
648,Star Wars: Episode VII - The Force Awakens ,J.J. Abrams,73.0
650,Back to the Future Part III,Robert Zemeckis,95.0
651,Back to the Future Part II,Robert Zemeckis,90.0
652,Back to the Future,Robert Zemeckis,96.0
653,Jurassic Park,Steven Spielberg,93.0
655,The Lord of the Rings: The Return of the King ,Peter Jackson,95.0
656,The Lord of the Rings: The Two Towers,Peter Jackson,98.0
657,The Lord of the Rings: The Fellowship of the Ring ,Peter Jackson,93.0
658,A Fish called Wanda,Charles Crichton,89.0
659,Mad Max: Fury Road,George Miller,95.0
660,Iwans Kindheit,Andrej Tarkowski,71.0
661,Ida,Pawe? Pawlikowski,65.0
662,Das Salz der Erde,Wim Wenders,83.0
664,Turtles,Jonathan Liebesman,56.0
667,Avatar ,James Cameron,92.0
669,Interstellar,Christopher Nolan,99.0
670,Jeder für sich und Gott gegen alle,Werner Herzog,65.0
671,Magnolia,Paul Thomas Anderson,100.0
672,2001: A Space Odyssey,Stanley Kubrick,99.0
674,All is Lost,J. C. Chandor,82.0
675,Snowpiercer,Bong Joon-Ho,85.0
676,Boyhood,Richard Linklater,70.0
678,Tanz der Teufel 2 - Jetzt wird noch mehr getanzt,Sam Raimi,81.0
679,The Shining,Stanley Kubrick,89.0
680,Kohlhaas oder die Verhältnismäßigkeit der Mittel,Aron Lehmann,65.0
681,"Dude, where's my car?",Danny Leiner,80.0
682,Inglourious Basterds,Quentin Tarantino,95.0
683,The Evil Dead,Aaron Morton,75.0
684,Tropa de Elite 2,José Padilha,80.0
685,Tropa de Elite,José Padilha,90.0
686,The Shawshank Redemption,Frank Darabont,99.0
687,Amour,Michael Haneke,82.0
689,The Hobbit: The Battle of the Five Armies,Peter Jackson,70.0
690,The Hobbit: The Desolation of Smaug,Peter Jackson,70.0
691,The Hobbit: An Unexpected Journey,Peter Jackson,70.0
693,Kill Bill: Vol. 2,Quentin Tarantino,94.0
694,Kill Bill: Vol. 1,Quentin Tarantino,96.0
695,Napoleon Dynamite,Jared Hess,77.0
696,Amour,Michael Haneke,82.0
697,Salo o le 120 giornate di Sodoma ,Pier Paolo Pasolini,70.0
698,Idioterne,Lars von Trier,75.0
699,Y también la lluvia,Icíar Bollaín,65.0
704,Mulholland Dr.,David Lynch,95.0
706,The Ides of March,George Clooney,75.0
708,Donnie Darko,Richard Kelly,95.0
709,Black Swan,Darren Aronofsky,85.0
714,Drive,Nicolas Winding Refn,75.0
